client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
1df0889dc131917fcadc1f23a5ebfccc258d19c846c86f181253ebd2f4228a441bf95efd701990f481570128b479622aa04cb0dc5940fad90335f1df29c9833a	common_voice_ru_36531525.mp3	Только, этот... как его... хочет уже ваять у него каску.... не дает!...	1	1	fourties	male			ru	
1df0889dc131917fcadc1f23a5ebfccc258d19c846c86f181253ebd2f4228a441bf95efd701990f481570128b479622aa04cb0dc5940fad90335f1df29c9833a	common_voice_ru_36531529.mp3	А если началась, то в чём она состоит?	1	0	fourties	male			ru	
1df0889dc131917fcadc1f23a5ebfccc258d19c846c86f181253ebd2f4228a441bf95efd701990f481570128b479622aa04cb0dc5940fad90335f1df29c9833a	common_voice_ru_36531538.mp3	Иди, иди, — быстро проговорила она, хмурясь и махая на него рукой.	1	0	fourties	male			ru	
5e02f92f638a372220e4f2f473f2f218d81aa126aee3a0e8ccc8db8af857e0f264ddd7b2bef9ef9a5dd2bef4ae9f70c2fb6fcfe5c6f0e2ed30a376987e1abaf5	common_voice_ru_36532504.mp3	Через час: ни секретаря, ни секретарши нет — голо!	1	1					ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36533067.mp3	Настало время провести серьезную глобальную дискуссию по этому вопросу на уровне лидеров мира.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36533080.mp3	Хозяйка строго обратилась к Ставрогину, только что он уселся.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36533086.mp3	А тебе доставляет удовольствие смотреть на Терезу в костюме Евы...	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36533095.mp3	Договор о ядерном разоружении должен также включать меры по защите окружающей среды.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36533102.mp3	Кто меж нами?	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36534120.mp3	На карту поставлен авторитет Организации Объединенных Наций.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36534122.mp3	Никогда, как нынче, он не был рад гостю, какому бы то ни было.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539547.mp3	У меня немножечко болел зуб и настроение было неважное.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539564.mp3	Нам нужно оживить Конференцию, с тем чтобы она могла выполнять свою главную роль.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539659.mp3	Стороны в настоящее время готовят свои письменные заявления.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539666.mp3	Дайте сюда зеркало.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539669.mp3	Анна прищурившись смотрела на нее и улыбнулась, пожав ей руку.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539686.mp3	В этом контексте актуальна идея разработки пакта о глобальном регулировании.	0	0			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36540599.mp3	Сегодня профессиональный такелаж оборудования востребован практически во всех отраслях народного хозяйства.	0	0			без акцента		ru	
97c5319cd514d32eb50cd74603812180c7b3490f47b4b0d9707e3deea8065ca804e03cb85b039bc57d6d2eed870e11bed62131379981e042bab54ca608965d28	common_voice_ru_36541327.mp3	– Сроку на размышление вам двадцать четыре часа дадено.	1	0					ru	
2498b8f6d3f13d354d51c611bb86e5b8eea2eecdd511b64290ee099ddaab22f5b788656f3ec5a6b37a99cba301095f8aef0111520e7ff033a3edf8849b64a453	common_voice_ru_36547650.mp3	Пусть всё закончится хорошо, аминь!	0	1					ru	
1d39d9e2654d52de0ff0c47807e2b885ad70ef59896a203d80722382b9a9b634b43a1483a31df43a4724b1c4f5744b274051324a6c1d739951986091a6b5d516	common_voice_ru_36556905.mp3	В моих глазах шумит водичка далеко.	1	0	twenties	male			ru	
1d39d9e2654d52de0ff0c47807e2b885ad70ef59896a203d80722382b9a9b634b43a1483a31df43a4724b1c4f5744b274051324a6c1d739951986091a6b5d516	common_voice_ru_36556923.mp3	Они входили в дверь, разговаривая о погоде, когда Степан Аркадьич догнал их.	1	0	twenties	male			ru	
1d39d9e2654d52de0ff0c47807e2b885ad70ef59896a203d80722382b9a9b634b43a1483a31df43a4724b1c4f5744b274051324a6c1d739951986091a6b5d516	common_voice_ru_36556939.mp3	А монах схватил за шиворот обеих горничных и, помотав ими по воздуху, отпустил.	1	0	twenties	male			ru	
1d39d9e2654d52de0ff0c47807e2b885ad70ef59896a203d80722382b9a9b634b43a1483a31df43a4724b1c4f5744b274051324a6c1d739951986091a6b5d516	common_voice_ru_36556956.mp3	Его богатство, знатный род и связи давали ему большой вес в окружных губерниях.	1	0	twenties	male			ru	
1652eb3f1dd759dda5512720526bd7874e9714a5e07461bc96675fa490568d3a85eae4417102e64ce2093aee6103dbe47858c0e16e58c7b313e38c28a873d74f	common_voice_ru_36558563.mp3	Окончив эти дела, он написал холодный и резкий ответ на письмо матери.	1	0					ru	
33e3e8c180722bfb16139b0c89a3decb3d255f38ea1270e3cf1c091529f5e92d372cff97fda6a5978f3ebe9ddec09b455943b07e431f7e3841870453407acdc8	common_voice_ru_36558715.mp3	Этот нажмет, да свое выберет.	1	0	thirties	male			ru	
